,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
163,Piccola Torre Maison,Vigevano,Superior Suite,"Private suite2 beds (1 sofa bed, 1 large double)",Exceptional,US$75,,9.5,277 reviews
164,Residenza Roma Imperiale,"Rione Monti, Rome",Double or Twin Room with City View,Multiple bed types,Exceptional,US$147,Travel Sustainable Level 1,9.6,331 reviews
165,Charme,Solèminis,Large Single Room,1 single bed,Fabulous,US$43,,8.6,148 reviews
166,Camere Del Re,Tarquinia,Large Single Room,Multiple bed types,Very good,US$53,,8.4,661 reviews
167,Nero Luxury Suites,Cagliari,Deluxe Room,1 large double bed,Superb,US$109,,9.4,233 reviews
168,Casa Maria,"Salerno Old Town, Salerno",Double Room with Private Bathroom,1 large double bed,Superb,US$82,,9.0,717 reviews
169,Casa per Ferie Opera Don Calabria,Rome,Family Room,5 single beds,Fabulous,US$95,Travel Sustainable Level 2,8.7,412 reviews
170,Bluemoon Sardinia,Cagliari,Double Room with Balcony,1 large double bed,Superb,US$64,Travel Sustainable Level 2,9.1,965 reviews
171,Casa Dominova de Luxe,"Sorrento City Centre, Sorrento",Triple Room,Multiple bed types,Superb,US$141,,9.4,570 reviews
172,Ciuri' Affittacamere,Alcamo,Single Room with Park View,1 single bed,Exceptional,US$35,Travel Sustainable Level 1,9.7,56 reviews
173,Residenza Gramsci,Matera,Superior Double Room,"2 beds (1 sofa bed, 1 large double)",Exceptional,US$117,Travel Sustainable Level 1,9.7,132 reviews
174,Borgo Salentino,San Vito dei Normanni,Deluxe Room with Private Bathroom,1 large double bed,Superb,US$71,Travel Sustainable Level 1,9.2,112 reviews
175,La Casa Dell'Arte,"Central Station, Rome",Double Room,Beds: 1 double or 2 singles,Good,US$71,,7.2,614 reviews
176,La Casa del Barocco,Noto,Double Room with Private External Bathroom,1 large double bed,Good,US$37,,7.5,779 reviews
177,B&B Viale San Pietro,Sassari,Single Room with Private Bathroom,1 single bed,Fabulous,US$59,,8.6,254 reviews
178,Masusa’,Aquara,Superior Quadruple Room,"2 beds (1 double, 1 bunk bed)",Superb,US$85,Travel Sustainable Level 2,9.0,130 reviews
179,Le Copertelle Bed & Breakfast,Serra San Quirico,Double Room,"2 beds (1 single, 1 large double)",Very good,US$80,Travel Sustainable Level 1,8.3,188 reviews
180,Residenza Elisabetta,"Verona Historical Centre, Verona",Superior Queen Room in Apartment Madame Butterfly,1 extra-large double bed,Superb,US$82,,9.2,"1,417 reviews"
181,Day by Day,"Vaticano Prati, Rome",Double or Twin Room,1 large double bed,Fabulous,US$68,Travel Sustainable Level 1,8.6,667 reviews
182,La Casa del Barocco,Noto,Double Room with Private External Bathroom,1 large double bed,Good,US$37,,7.5,779 reviews
183,FUTURA ROOM&RELAX,Termoli,Double Room with Private Bathroom,1 large double bed,Superb,US$67,Travel Sustainable Level 1,9.2,302 reviews
184,Le Mirage boutique,Reggio Calabria,Deluxe Double Room with Shower,1 extra-large double bed,Fabulous,US$37,Travel Sustainable Level 1,8.8,317 reviews
185,4heavens_naples,"Naples Historical Centre, Naples",Quadruple Room with Balcony,Multiple bed types,Exceptional,US$160,Travel Sustainable Level 3,9.6,382 reviews
186,Affittacamere SveMilla,Brugnato,Double Room with Private Bathroom,1 large double bed,Superb,US$73,Travel Sustainable Level 2,9.0,285 reviews
187,De La Tour,Tirano,Double Room with Private External Bathroom,1 large double bed,Very good,US$75,,8.2,406 reviews
188,"PC Boutique H Napoli Centro, by ClaPa Group","Port of Naples, Naples",Double Room with Balcony,1 large double bed,Very good,US$90,,8.0,"1,596 reviews"
189,Residenza Girardi,"Verona Historical Centre, Verona",Double Room with Private Bathroom,1 large double bed,Very good,US$81,,8.0,622 reviews
190,La Conchiglietta,Marzamemi,Deluxe Single Room with Balcony,1 single bed,Very good,US$48,,8.2,184 reviews
191,Mia Suites,"Spagna, Rome",Double Room,1 large double bed,Good,US$110,,7.8,"1,043 reviews"
192,Piano Monaco,Carini,Triple Room with Garden View,"2 beds (1 single, 1 large double)",Very good,US$63,,8.3,220 reviews
193,Casa Per Ferie San Giovanni Bosco,La Spezia,Deluxe Room,"3 beds (2 bunk beds, 1 large double)",Very good,US$96,,8.2,543 reviews
194,Air Suite Verona,"Verona Historical Centre, Verona",Deluxe Double Room,1 large double bed,Very good,US$149,,8.2,"1,371 reviews"
195,Green Bed Bergamo Guest House & Residence,Bergamo,Family Room with Balcony,"4 beds (3 singles, 1 large double)",Fabulous,US$96,,8.6,655 reviews
196,Dorotea Rooms Torino,"San Salvario Valentino, Turin",Deluxe Double Room,1 large double bed,Superb,US$106,Travel Sustainable Level 1,9.4,10 reviews
197,Les Suite Royales,Sassari,Double Room,1 extra-large double bed,Superb,US$69,,9.2,637 reviews
198,Albergo Diffuso Monopoli,Monopoli,Double or Twin Room,1 large double bed,Superb,US$84,,9.0,775 reviews
